Wilayah,Provinsi,Kabupaten/Kota,Nama Wisata,Rating,Reviews,Jenis Wisata,Latitude,Longitude
Sumatra,Aceh,Aceh Barat,Pantai Suak Ribee,4.2,329,Air,4.154143096,96.10982238
Sumatra,Aceh,Aceh Barat,Makam Teuku Umar Johan Pahlawan,4.4,143,Monumen,4.424641205,96.18047377
Sumatra,Aceh,Aceh Barat,Pantai Lhok Geudong,4,359,Air,4.129719269,96.13004312
Sumatra,Aceh,Aceh Barat,Tugu kupiah Teuku Umar,4.5,897,Monumen,4.148004208,96.11576952
Sumatra,Aceh,Aceh Barat,Pantai Ujung Karang,4.3,629,Air,4.124800316,96.12789642
Sumatra,Aceh,Aceh Barat,Danau Geunang Geudong,3.8,20,Air,4.255325181,96.17641058
Sumatra,Aceh,Aceh Barat,Monumen Kupiah Meukeutop,4.5,42,Monumen,4.146930418,96.11759301
Sumatra,Aceh,Aceh Barat,Pantai Lhok Bubon,4.3,136,Air,4.198209288,96.02769575
Sumatra,Aceh,Aceh Barat,Air Terjun Pungkie,4.6,7,Air,4.529927493,96.00550992
Sumatra,Aceh,Aceh Barat,Kota Meulaboh,4.7,18,Taman,4.126278708,96.12814792
Sumatra,Aceh,Aceh Barat,Wisata Waterboom Mini,4.2,33,Air,4.125528357,96.17000115
Sumatra,Aceh,Aceh Barat,Pantai Suak Timah,4.3,28,Air,4.209019793,96.0478673
Sumatra,Aceh,Aceh Barat,Masjid Agung Baitul Makmur Meulaboh,4.7,3159,Religi,4.158908807,96.12490107
Sumatra,Aceh,Aceh Barat,Sunset Point Meulaboh,4.9,11,Air,4.146321208,96.11700354
Sumatra,Aceh,Aceh Barat,Taman Pantai Kasih,3.9,290,Taman,4.188911207,96.27083235
Sumatra,Aceh,Aceh Barat,Agrowisata Geureudong,4.3,6,Taman,4.151971813,96.120513
Sumatra,Aceh,Aceh Barat,Tugu Tsunami Gampong Pasir,4.3,25,Monumen,4.134454309,96.1272762
Sumatra,Aceh,Aceh Barat,Taman Jembes,3.8,221,Taman,4.154850009,96.14017658
Sumatra,Aceh,Aceh Barat,Kolam Pemandian Muara Louser,4,1,Air,3.60222646,96.95614342
Sumatra,Aceh,Aceh Barat Daya,Air Terjun Ceuraceu Panto Cut,4.2,15,Air,3.829527393,96.77680195
Sumatra,Aceh,Aceh Barat Daya,Pantai Ujong Manggeng,4.1,77,Air,3.61405216,96.89975524
Sumatra,Aceh,Aceh Barat Daya,Pantai Suak Udeung,4.2,6,Air,3.603128099,96.90733308
Sumatra,Aceh,Aceh Barat Daya,Pantai Blang Padang,3.9,21,Air,3.662452567,96.8877991
Sumatra,Aceh,Aceh Barat Daya,Ceuraceu Krueng Batee,4.7,15,Air,3.824003657,96.80929062
Sumatra,Aceh,Aceh Barat Daya,PANTAI BALI ABDYA,4.2,197,Air,3.71365029,96.83104592
Sumatra,Aceh,Aceh Barat Daya,Puncak Batee Lhee (Gunong Sabi),4.6,8,Bukit,3.620470898,96.95280438
Sumatra,Aceh,Aceh Barat Daya,Kolam Pemandian Krueng Baru,4.5,2,Air,3.605431684,96.95470782
Sumatra,Aceh,Aceh Barat Daya,Pusong Island,4.8,9,Air,3.702264741,96.82493815
Sumatra,Aceh,Aceh Barat Daya,Taman Cemara Indah,4,24,Taman,3.72828033,96.81495164
Sumatra,Aceh,Aceh Barat Daya,Taman Wisata Ujong Lhok Pawoh,4.2,43,Taman,3.623765045,96.89561541
Sumatra,Aceh,Aceh Barat Daya,Kolam Pemandian Muara Louser,4,1,Air,3.604577208,96.95775683
Sumatra,Aceh,Aceh Barat Daya,Kolam Renang Bukit Hijau Putroe Aloeh Alue Seulaseh,4,32,Air,3.784595423,96.8221959
Sumatra,Aceh,Aceh Barat Daya,Wisata Putroe Aloih,4.5,53,Air,3.788363729,96.83180894
Sumatra,Aceh,Aceh Barat Daya,Dermaga Lhok Pawoh,4.2,13,Air,3.625798393,96.90158766
Sumatra,Aceh,Aceh Barat Daya,Puncak Gunung Sabi,4.6,10,Bukit,3.618777963,96.95334218
Sumatra,Aceh,Aceh Barat Daya,Pantai Lama Tuha,4.8,15,Air,3.741582874,96.74960891
Sumatra,Aceh,Aceh Besar,Wahana Impian Malaka 69,4.3,2196,Air,5.41981954,95.40428246
Sumatra,Aceh,Aceh Besar,Taman Konservasi Elang Putih,5,1,Taman,5.422707375,95.40278686
Sumatra,Aceh,Aceh Besar,Taman Rusa Lam Tanjong,4.3,1760,Taman,5.450586299,95.36774565
Sumatra,Aceh,Aceh Besar,Jantho Panorama Park,4.4,398,Taman,5.28355501,95.60276284
Sumatra,Aceh,Aceh Besar,Pantai Lhokseudu,4.3,995,Air,5.354261443,95.24062938
Sumatra,Aceh,Aceh Besar,Tebing Babah Dua Lampuuk,4.6,72,Air,5.5029131,95.2288779
Sumatra,Aceh,Aceh Besar,Lampuuk Beach,4.6,2024,Air,5.489072449,95.22595966
Sumatra,Aceh,Aceh Besar,Pantai Ujong Batee,4.1,576,Air,5.650176305,95.41952132
Sumatra,Aceh,Aceh Besar,Wisata Air terjun suhom,4.2,25,Air,5.285792146,95.26102186
Sumatra,Aceh,Aceh Besar,Air Terjun Kuta Malaka,4.4,248,Air,5.391328585,95.36643806
Sumatra,Aceh,Aceh Besar,Air Terjun Peukan Biluy,4,60,Air,5.460514903,95.32641411
Sumatra,Aceh,Aceh Besar,Taman Hutan Raya Pocut Meurah Intan,4.4,185,Taman,5.443547565,95.75953461
Sumatra,Aceh,Aceh Besar,Waduk Keuliling,4,189,Air,5.366368976,95.47906354
Sumatra,Aceh,Aceh Besar,Pantai Lhoknga,4.5,377,Air,5.446992625,95.24534326
Sumatra,Aceh,Aceh Besar,Teluk Jantang Beach,4.4,80,Air,5.269516527,95.24757384
Sumatra,Aceh,Aceh Besar,WISATA BUKIT MONUMEN ACEH BESAR,4.4,41,Taman,5.591345263,95.51386881
Sumatra,Aceh,Aceh Besar,Pucok Krueng,4.5,223,Air,5.460833658,95.26147815
Sumatra,Aceh,Aceh Besar,"Brayeung, Leupung",4.3,862,Air,5.367554003,95.28448449
Sumatra,Aceh,Aceh Besar,Benteng Inong Balee(Janda),4.4,65,Bukit,5.608553688,95.53010916
Sumatra,Aceh,Aceh Besar,Benteng Kuta Lubok,4.1,29,Bukit,5.610047788,95.5360817
Sumatra,Aceh,Aceh Besar,Bukit Lamreh,4.4,453,Bukit,5.616294809,95.54397851
Sumatra,Aceh,Aceh Besar,Pemandian Air Panas Aceh Besar,4.2,1081,Air,5.54716798,95.54760914
Sumatra,Aceh,Aceh Besar,Taman Wisata Burung Dara,3.5,312,Taman,5.405577374,95.43710156
Sumatra,Aceh,Aceh Besar,Ilalang Park,4.3,153,Taman,5.537222804,95.50123042
Sumatra,Aceh,Aceh Besar,Rumoh Cut Nyak Dhien,4.6,1132,Monumen,5.51698414,95.27219798
Sumatra,Aceh,Aceh Besar,Pantai Penyu,4.3,569,Air,5.412944771,95.24759897
Sumatra,Aceh,Aceh Besar,Kebun Kurma Aceh,4.4,786,Taman,5.542795111,95.51165183
Sumatra,Aceh,Aceh Besar,Gunung Seulawah Agam,4.1,211,Bukit,5.4482688,95.65823888
Sumatra,Aceh,Aceh Besar,Gunung Meucica,4.5,16,Bukit,5.219689547,95.50910862
Sumatra,Aceh,Aceh Besar,Bukit Siron,4.7,86,Bukit,5.278835286,95.47065647
Sumatra,Aceh,Aceh Besar,Gurun Putih Lestari Safari Park,4.5,489,Taman,5.314046547,95.56678684
Sumatra,Aceh,Aceh Besar,Mataie Hillside Adventure & Water Park,4,331,Air,5.494856853,95.31032475
Sumatra,Aceh,Aceh Besar,Kubah Mesjid Sisa Tsunami,4.5,250,Monumen,5.539623776,95.26534947
Sumatra,Aceh,Aceh Besar,Benteng Kerajaan Aceh Lamuri - Indrapatra,4.3,281,Monumen,5.636664049,95.48782261
Sumatra,Aceh,Aceh Besar,Pantai Lampuuk,4.6,2026,Air,5.491097646,95.22689732
Sumatra,Aceh,Aceh Besar,"Blang Ulam, Kreung Raya",4,32,Air,5.629830753,95.60867222
Sumatra,Aceh,Aceh Besar,Pantai Lhok Mata Ie,4.6,287,Air,5.575161516,95.24646671
Sumatra,Aceh,Aceh Besar,Air Terjun Peucari Jantho,4.4,67,Air,5.237809937,95.65605076
Sumatra,Aceh,Aceh Besar,Wisata Panorama alam Bukit Jalin,4.6,170,Bukit,5.350855867,95.90910556
